Location,Routing,Routing - Copy,Location - Copy,
"Huron, SD",HON,HON,"Huron, SD",
"Huslia, AK",HSL,HSL,"Huslia, AK",
"Hwange Nat Park, Zimbabwe",HWN,HWN,"Hwange Nat Park, Zimbabwe",
"Hyannis, MA",HYA,HYA,"Hyannis, MA",
"Hydaburg, AK",HYG,HYG,"Hydaburg, AK",
"Hyderabad, India",HYD,HYD,"Hyderabad, India",
"Iasi, Romania",IAS,IAS,"Iasi, Romania",
"Ibague, Colombia",IBE,IBE,"Ibague, Colombia",
"Ibiza, Spain",IBZ,IBZ,"Ibiza, Spain",
"Idaho Falls, ID",IDA,IDA,"Idaho Falls, ID",
"Igarka, Russia",IAA,IAA,"Igarka, Russia",
"Igiugig, AK",IGG,IGG,"Igiugig, AK",
"Igloolik, NU",YGT,YGT,"Igloolik, NU",
"Iguassu Falls, PR, Brazil",IGU,IGU,"Iguassu Falls, PR, Brazil",
"Iguazu, Argentina",IGR,IGR,"Iguazu, Argentina",
"Ihu, Papua New Guinea",IHU,IHU,"Ihu, Papua New Guinea",
"Ile Des Pins, New Caledonia",ILP,ILP,"Ile Des Pins, New Caledonia",
"Iles De La Madeleine, QC",YGR,YGR,"Iles De La Madeleine, QC",
"Ilford, MB",ILF,ILF,"Ilford, MB",
"Ilheus, Brazil",IOS,IOS,"Ilheus, Brazil",
"Iliamna, AK",ILI,ILI,"Iliamna, AK",
"Illaga, Indonesia",ILA,ILA,"Illaga, Indonesia",
"Iloilo, Philippines - Mandurriao",ILO,ILO,"Iloilo, Philippines - Mandurriao",
"Ilu, Indonesia",IUL,IUL,"Ilu, Indonesia",
"Ilulissat, Greenland",JAV,JAV,"Ilulissat, Greenland",
"Imperatriz, Brazil",IMP,IMP,"Imperatriz, Brazil",
"Imperial, CA",IPL,IPL,"Imperial, CA",
"Imphal, India",IMF,IMF,"Imphal, India",
"In Amenas, Algeria",IAM,IAM,"In Amenas, Algeria",
"Inagua, Bahamas",IGA,IGA,"Inagua, Bahamas",
"Inanwatan, Indonesia",INX,INX,"Inanwatan, Indonesia",
"Indagen, Papua New Guinea",IDN,IDN,"Indagen, Papua New Guinea",
"Indianapolis, IN",IND,IND,"Indianapolis, IN",
"Indore, India",IDR,IDR,"Indore, India",
"Ingersoll, ON - Rail service",XIB,XIB,"Ingersoll, ON - Rail service",
"Innsbruck, Austria",INN,INN,"Innsbruck, Austria",
"Inta, Russia",INA,INA,"Inta, Russia",
"International Falls, MN",INL,INL,"International Falls, MN",
"Inukjuak, QC",YPH,YPH,"Inukjuak, QC",
"Inuvik, NT",YEV,YEV,"Inuvik, NT",
"Invercargill, New Zealand",IVC,IVC,"Invercargill, New Zealand",
"Inverell, Australia",IVR,IVR,"Inverell, Australia",
"Inverness, United Kingdom",INV,INV,"Inverness, United Kingdom",
"Inyokern, CA",IYK,IYK,"Inyokern, CA",
"Ioannina, Greece",IOA,IOA,"Ioannina, Greece",
"Ioma, Papua New Guinea",IOP,IOP,"Ioma, Papua New Guinea",
"Ipatinga, Brazil",IPN,IPN,"Ipatinga, Brazil",
"Ipiales, Colombia",IPI,IPI,"Ipiales, Colombia",
"Ipil, Philippines",IPE,IPE,"Ipil, Philippines",
"Ipoh, Malaysia",IPH,IPH,"Ipoh, Malaysia",
"Ipota, Vanuatu",IPA,IPA,"Ipota, Vanuatu",
"Iqaluit, NU",YFB,YFB,"Iqaluit, NU",
"Iquique, Chile",IQQ,IQQ,"Iquique, Chile",
"Iquitos, Peru",IQT,IQT,"Iquitos, Peru",
"Irkutsk, Russia",IKT,IKT,"Irkutsk, Russia",
"Iron Mountain, MI",IMT,IMT,"Iron Mountain, MI",
"Ironwood, MI",IWD,IWD,"Ironwood, MI",
"Isafjordur, Iceland",IFJ,IFJ,"Isafjordur, Iceland",
"Isfahan, Iran",IFN,IFN,"Isfahan, Iran",
"Ishigakij, Japan",ISG,ISG,"Ishigakij, Japan",
"Islamabad, Pakistan",ISB,ISB,"Islamabad, Pakistan",
Island Lake/Garden Hill,YIV,YIV,Island Lake/Garden Hill,
"Island Lake/Garden Hill, Canada",YIV,YIV,"Island Lake/Garden Hill, Canada",
"Islay, United Kingdom",ILY,ILY,"Islay, United Kingdom",
"Isle of Man, United Kingdom",IOM,IOM,"Isle of Man, United Kingdom",
"Isles of Scilly, United Kingdom - St Marys",ISC,ISC,"Isles of Scilly, United Kingdom - St Marys",
"Isles of Scilly, United Kingdom - Tresco",TSO,TSO,"Isles of Scilly, United Kingdom - Tresco",
"Islip, NY",ISP,ISP,"Islip, NY",
"Istanbul, Turkey",IST,IST,"Istanbul, Turkey",
"Itaituba, Brazil",ITB,ITB,"Itaituba, Brazil",
"Ithaca, NY",ITH,ITH,"Ithaca, NY",
"Itokama, Papua New Guinea",ITK,ITK,"Itokama, Papua New Guinea",
"Ivalo, Finland",IVL,IVL,"Ivalo, Finland",
"Ivano-Frankovsk, Ukraine",IFO,IFO,"Ivano-Frankovsk, Ukraine",
"Ivujivik, QC",YIK,YIK,"Ivujivik, QC",
"Iwami, Japan",IWJ,IWJ,"Iwami, Japan",
"Ixtapa, Mexico",ZIH,ZIH,"Ixtapa, Mexico",
"Ixtepec, Mexico",IZT,IZT,"Ixtepec, Mexico",
"Izmir, Turkey",ADB,ADB,"Izmir, Turkey",
"Izumo, Japan",IZO,IZO,"Izumo, Japan",
"Jabor, Marshall Islands",JAT,JAT,"Jabor, Marshall Islands",
"Jacareacanga, Brazil",JCR,JCR,"Jacareacanga, Brazil",
"Jackson Hole, WY",JAC,JAC,"Jackson Hole, WY",
"Jackson, MS",JAN,JAN,"Jackson, MS",
"Jackson, TN",MKL,MKL,"Jackson, TN",
"Jacksonville, FL",JAX,JAX,"Jacksonville, FL",
"Jacksonville, NC",OAJ,OAJ,"Jacksonville, NC",
"Jacobabad, Pakistan",JAG,JAG,"Jacobabad, Pakistan",
"Jacquinot Bay, Papua New Guinea",JAQ,JAQ,"Jacquinot Bay, Papua New Guinea",
"Jaipur, India",JAI,JAI,"Jaipur, India",
"Jakarta, Indonesia",CGK,CGK,"Jakarta, Indonesia",
"Jalapa, Mexico",JAL,JAL,"Jalapa, Mexico",
"Jaluit Island, Marshall Islands",UIT,UIT,"Jaluit Island, Marshall Islands",
Jambi. Indonesia,DJB,DJB,Jambi. Indonesia,
"Jamestown, ND",JMS,JMS,"Jamestown, ND",
"Jamestown, NY",JHW,JHW,"Jamestown, NY",
"Jamnagar, India",JGA,JGA,"Jamnagar, India",
"Janakpur, Nepal",JKR,JKR,"Janakpur, Nepal",
"Janesville, WI",JVL,JVL,"Janesville, WI",
"Jaque, Panama",JQE,JQE,"Jaque, Panama",
"Jasper, AB - Rail service",XDH,XDH,"Jasper, AB - Rail service",
"Jayapura, Indonesia",DJJ,DJJ,"Jayapura, Indonesia",
"Jeddah, Saudi Arabia",JED,JED,"Jeddah, Saudi Arabia",
"Jeh, Marshall Islands",JEJ,JEJ,"Jeh, Marshall Islands",
"Jeju, South Korea - Jeju Airport, metro area",CJU,CJU,"Jeju, South Korea - Jeju Airport, metro area",
"Jerez De La Frontere, Spain",XRY,XRY,"Jerez De La Frontere, Spain",
"Jersey, United Kingdom",JER,JER,"Jersey, United Kingdom",
"Jessore, Bangladesh",JSR,JSR,"Jessore, Bangladesh",
"Jiamusi, China",JMU,JMU,"Jiamusi, China",
"Jiayuguan, China",JGN,JGN,"Jiayuguan, China",
"Jijel, Algeria",GJL,GJL,"Jijel, Algeria",
"Jijiga, Ethiopia",JIJ,JIJ,"Jijiga, Ethiopia",
"Jimma, Ethiopia",JIM,JIM,"Jimma, Ethiopia",
"Jinan, China",TNA,TNA,"Jinan, China",
"Jingdezhen, China",JDZ,JDZ,"Jingdezhen, China",
"Jinghong, China",JHG,JHG,"Jinghong, China",
"Jinja, Uganda",JIN,JIN,"Jinja, Uganda",
"Jinjiang, China",JJN,JJN,"Jinjiang, China",
"Jinju, South Korea - Sancheon",HIN,HIN,"Jinju, South Korea - Sancheon",
"Jinka, Ethiopia",BCO,BCO,"Jinka, Ethiopia",
"Jinzhou, China",JNZ,JNZ,"Jinzhou, China",
"Ji-Parana, Brazil",JPR,JPR,"Ji-Parana, Brazil",
"Jiwani, Pakistan",JIW,JIW,"Jiwani, Pakistan",
"Joao Pessoa, Brazil",JPA,JPA,"Joao Pessoa, Brazil",
"Jodhpur, India",JDH,JDH,"Jodhpur, India",
"Joensuu, Finland",JOE,JOE,"Joensuu, Finland",
"Johannesburg, South Africa",JNB,JNB,"Johannesburg, South Africa",
"Johnson City, NY",BGM,BGM,"Johnson City, NY",
"Johnson City, TN",TRI,TRI,"Johnson City, TN",
"Johnston Island, US Minor Outlying Islands",JON,JON,"Johnston Island, US Minor Outlying Islands",
"Johnstown, PA",JST,JST,"Johnstown, PA",
"Johor, Malaysia",JHB,JHB,"Johor, Malaysia",
"Joinville, Brazil",JOI,JOI,"Joinville, Brazil",
"Joliette, QC - Rail service",XJL,XJL,"Joliette, QC - Rail service",
"Jommu, India",IXJ,IXJ,"Jommu, India",
"Jomsom, Nepal",JMO,JMO,"Jomsom, Nepal",
"Jonesboro, AR",JBR,JBR,"Jonesboro, AR",
"Jonkoping, Sweden",JKG,JKG,"Jonkoping, Sweden",
"Jonquiere, QC - Rail service",XJQ,XJQ,"Jonquiere, QC - Rail service",
"Joplin, MO",JLN,JLN,"Joplin, MO",
"Jorhat, India",JRH,JRH,"Jorhat, India",
"Jose De San Martin, Argentina",JSM,JSM,"Jose De San Martin, Argentina",
"Jouf, Saudi Arabia",AJF,AJF,"Jouf, Saudi Arabia",
"Juazeiro Do Norte, Brazil",JDO,JDO,"Juazeiro Do Norte, Brazil",
"Juist, Germany",JUI,JUI,"Juist, Germany",
"Juiz De Fora, Brazil",JDF,JDF,"Juiz De Fora, Brazil",
"Jujuy, Argentina",JUJ,JUJ,"Jujuy, Argentina",
"Julia Creek, Australia",JCK,JCK,"Julia Creek, Australia",
"Juliaca, Peru",JUL,JUL,"Juliaca, Peru",
"Juneau, AK",JNU,JNU,"Juneau, AK",
"Juzha, China",JUZ,JUZ,"Juzha, China",
"Jyvaskyla, Finland",JYV,JYV,"Jyvaskyla, Finland",
"Kaadedhdhoo, Maldives",KDM,KDM,"Kaadedhdhoo, Maldives",
"Kaben, Marshall Islands",KBT,KBT,"Kaben, Marshall Islands",
"Kabri Dar, Ethiopia",ABK,ABK,"Kabri Dar, Ethiopia",
"Kabul, Afghanistan",KBL,KBL,"Kabul, Afghanistan",
"Kabwun, Papua New Guinea",KBM,KBM,"Kabwun, Papua New Guinea",
"Kadanwari, Pakistan",KCF,KCF,"Kadanwari, Pakistan",
"Kadhonoo, Maldives",KDO,KDO,"Kadhonoo, Maldives",
"Kahramanmaras, Turkey",KCM,KCM,"Kahramanmaras, Turkey",
"Kahului, HI - Island of Maui,",OGG,OGG,"Kahului, HI - Island of Maui,",
"Kaintiba, Papua New Guinea",KZF,KZF,"Kaintiba, Papua New Guinea",
"Kaitaia, New Zealand",KAT,KAT,"Kaitaia, New Zealand",
"Kajaani, Finland",KAJ,KAJ,"Kajaani, Finland",
"Kake, AK",KAE,KAE,"Kake, AK",
"Kakhonak, AK",KNK,KNK,"Kakhonak, AK",
"Kalamazoo, MI",AZO,AZO,"Kalamazoo, MI",
"Kalaupapa, HI - Island of Molokai,",LUP,LUP,"Kalaupapa, HI - Island of Molokai,",
"Kalbarri, Australia",KAX,KAX,"Kalbarri, Australia",
"Kaliningrad, Russia",KGD,KGD,"Kaliningrad, Russia",
"Kalskag, AK",KLG,KLG,"Kalskag, AK",
"Kaltag, AK",KAL,KAL,"Kaltag, AK",
"Kambuaya, Indonesia",KBX,KBX,"Kambuaya, Indonesia",
"Kameshli, Syrian Arab Republic",KAC,KAC,"Kameshli, Syrian Arab Republic",
"Kamloops, BC",YKA,YKA,"Kamloops, BC",
"Kamuela, HI - Island of Hawaii,",MUE,MUE,"Kamuela, HI - Island of Hawaii,",
"Kamur, Indonesia",KCD,KCD,"Kamur, Indonesia",
"Kamusi, Papua New Guinea",KUY,KUY,"Kamusi, Papua New Guinea",
"Kangiqsualujjuaq, QC",XGR,XGR,"Kangiqsualujjuaq, QC",
"Kangiqsujuaq, QC",YWB,YWB,"Kangiqsujuaq, QC",
"Kangirsuk, QC",YKG,YKG,"Kangirsuk, QC",
"Kano, Nigeria",KAN,KAN,"Kano, Nigeria",
"Kansas City, MO",MCI,MCI,"Kansas City, MO",
"Kapalua, HI - Island of Maui,",JHM,JHM,"Kapalua, HI - Island of Maui,",
"Kapuskasing, ON",YYU,YYU,"Kapuskasing, ON",
"Karachi, Pakistan - Quaid-E-Azam International",KHI,KHI,"Karachi, Pakistan - Quaid-E-Azam International",
"Kardia, Estonia",KDL,KDL,"Kardia, Estonia",
"Kariba, Zimbabwe",KAB,KAB,"Kariba, Zimbabwe",
"Karlsruhe/Badern Baden, Germany",FKB,FKB,"Karlsruhe/Badern Baden, Germany",
"Karpathos, Greece",AOK,AOK,"Karpathos, Greece",
"Karubaga, Indonesia",KBF,KBF,"Karubaga, Indonesia",
"Kasaan, AK",KXA,KXA,"Kasaan, AK",
"Kasaba Bay, Zambia",ZKB,ZKB,"Kasaba Bay, Zambia",
"Kasabonika, ON",XKS,XKS,"Kasabonika, ON",
"Kasama, Zambia",KAA,KAA,"Kasama, Zambia",
"Kasane, Botswana",BBK,BBK,"Kasane, Botswana",
"Kaschechewan, ON",ZKE,ZKE,"Kaschechewan, ON",
"Kasigluk, AK",KUK,KUK,"Kasigluk, AK",
"Katherine, NT, Australia",KTR,KTR,"Katherine, NT, Australia",
"Kathmandu, Nepal",KTM,KTM,"Kathmandu, Nepal",
"Katowice, Poland",KTW,KTW,"Katowice, Poland",
"Kauai Island/Lihue, HI",LIH,LIH,"Kauai Island/Lihue, HI",
"Kaunas, Lithuania",KUN,KUN,"Kaunas, Lithuania",
"Kavala, Greece",KVA,KVA,"Kavala, Greece",
"Kavieng, Papua New Guinea",KVG,KVG,"Kavieng, Papua New Guinea",
"Kawthaung, Myanmar",KAW,KAW,"Kawthaung, Myanmar",
"Kayseri, Turkey",ASR,ASR,"Kayseri, Turkey",
"Kazan,, Russia",KZN,KZN,"Kazan,, Russia",
"Kearney, NE",EAR,EAR,"Kearney, NE",
"Keene, NH",EEN,EEN,"Keene, NH",
"Keewaywin, ON",KEW,KEW,"Keewaywin, ON",
"Kefallinia, Greece",EFL,EFL,"Kefallinia, Greece",
"Kegaska, QC",ZKG,ZKG,"Kegaska, QC",
"Kelowna, BC",YLW,YLW,"Kelowna, BC",
"Kenai, AK",ENA,ENA,"Kenai, AK",
"Kendari, Indonesia",KDI,KDI,"Kendari, Indonesia",
"Kenora, ON",YQK,YQK,"Kenora, ON",
"Kerkyra, Greece",CFU,CFU,"Kerkyra, Greece",
"Ketchikan, AK",KTN,KTN,"Ketchikan, AK",
"Key West, FL",EYW,EYW,"Key West, FL",
"Keystone, CO - Van service",QKS,QKS,"Keystone, CO - Van service",
"Khajuraho, India",HJR,HJR,"Khajuraho, India",
"Kharga, Egypt",UVL,UVL,"Kharga, Egypt",
"Kharkov, Ukraine",HRK,HRK,"Kharkov, Ukraine",
"Khudzhand, Tajikistan",LBD,LBD,"Khudzhand, Tajikistan",
"Khuzdar, Pakistan",KDD,KDD,"Khuzdar, Pakistan",
"Kiana, AK",IAN,IAN,"Kiana, AK",
"Kiev, Ukraine - Borispol",KBP,KBP,"Kiev, Ukraine - Borispol",
"Kiev, Ukraine - Zhulhany",IEV,IEV,"Kiev, Ukraine - Zhulhany",
"Kigali, Rwanda",KGL,KGL,"Kigali, Rwanda",
"Kigoma, Tanzania",TKQ,TKQ,"Kigoma, Tanzania",
"Kilgore/Gladewater, TX",GGG,GGG,"Kilgore/Gladewater, TX",
"Kilimanjaro, Tanzania",JRO,JRO,"Kilimanjaro, Tanzania",
"Killeen, TX",ILE,ILE,"Killeen, TX",
Kimmirut/Lake Harbour NU,YLC,YLC,Kimmirut/Lake Harbour NU,
"Kimmirut/Lake Harbour, Canada",YLC,YLC,"Kimmirut/Lake Harbour, Canada",
"King Cove, AK",KVC,KVC,"King Cove, AK",
"King Salmon, AK",AKN,AKN,"King Salmon, AK",
"Kingfisher Lake, ON",KIF,KIF,"Kingfisher Lake, ON",
"Kingman, AZ",IGM,IGM,"Kingman, AZ",
"Kingsport, TN",TRI,TRI,"Kingsport, TN",
"Kingston, Jamaica - Norman Manley",KIN,KIN,"Kingston, Jamaica - Norman Manley",
"Kingston, Jamaica - Tinson",KTP,KTP,"Kingston, Jamaica - Tinson",
"Kingston, ON - Norman Rogers Airport",YGK,YGK,"Kingston, ON - Norman Rogers Airport",
"Kingston, ON - Rail service",XEG,XEG,"Kingston, ON - Rail service",
"Kinshasa, Congo",FIH,FIH,"Kinshasa, Congo",
"Kipnuk, AK",KPN,KPN,"Kipnuk, AK",
"Kirakira, Solomon Islands",IRA,IRA,"Kirakira, Solomon Islands",
"Kirksville, MO",IRK,IRK,"Kirksville, MO",
"Kitadaito, Japan",KTD,KTD,"Kitadaito, Japan",
"Kitchener, ON",YKF,YKF,"Kitchener, ON",
"Kittila, Finland",KTT,KTT,"Kittila, Finland",
"Kiunga, Papua New Guinea",UNG,UNG,"Kiunga, Papua New Guinea",
"Kivalina, AK",KVL,KVL,"Kivalina, AK",
"Kiwayu, Kenya",KWY,KWY,"Kiwayu, Kenya",
"Klamath Falls, OR",LMT,LMT,"Klamath Falls, OR",
"Klawock, AK",KLW,KLW,"Klawock, AK",
"Klemtu, BC",YKT,YKT,"Klemtu, BC",
"Knock, Ireland",NOC,NOC,"Knock, Ireland",
"Knoxville, TN",TYS,TYS,"Knoxville, TN",
"Kobuk, AK",OBU,OBU,"Kobuk, AK",
"Kochi, Japan",KCZ,KCZ,"Kochi, Japan",
"Kodiak, AK",ADQ,ADQ,"Kodiak, AK",
"Koh Samui, Thailand",USM,USM,"Koh Samui, Thailand",
"Kolkata, India",CCU,CCU,"Kolkata, India",
"Kolobrzeg, Poland",QJY,QJY,"Kolobrzeg, Poland",
"Komsomolsk Na Amure, Russia",KXK,KXK,"Komsomolsk Na Amure, Russia",
"Kona, HI - Island of Hawaii",KOA,KOA,"Kona, HI - Island of Hawaii",
"Kongiganak, AK",KKH,KKH,"Kongiganak, AK",
"Konya, Turkey",KYA,KYA,"Konya, Turkey",
"Koror, Palau",ROR,ROR,"Koror, Palau",
"Koszalin, Poland",OSZ,OSZ,"Koszalin, Poland",
"Kota Bharu, Malaysia",KBR,KBR,"Kota Bharu, Malaysia",
"Kota Kinabalu, Malaysia",BKI,BKI,"Kota Kinabalu, Malaysia",
"Kotlik, AK",KOT,KOT,"Kotlik, AK",
"Kotzebue, AK",OTZ,OTZ,"Kotzebue, AK",
"Kowanyama, QL, Australia",KWM,KWM,"Kowanyama, QL, Australia",
"Koyukuk, AK",KYU,KYU,"Koyukuk, AK",
"Kozhikode, India",CCJ,CCJ,"Kozhikode, India",
"Krabi, Thailand",KBV,KBV,"Krabi, Thailand",
"Krakow, Poland",KRK,KRK,"Krakow, Poland",
"Krivoy Rog, Ukraine",KWG,KWG,"Krivoy Rog, Ukraine",
"Kuala Lumpur, Malaysia",KUL,KUL,"Kuala Lumpur, Malaysia",
"Kuala Terengganu, Malaysia",TGG,TGG,"Kuala Terengganu, Malaysia",
"Kuantan, Malaysia",KUA,KUA,"Kuantan, Malaysia",
"Kubin Island, QL, Australia",KUG,KUG,"Kubin Island, QL, Australia",
"Kuching, Malaysia",KCH,KCH,"Kuching, Malaysia",
"Kudat, Malaysia",KUD,KUD,"Kudat, Malaysia",
"Kufrah, Libya",AKF,AKF,"Kufrah, Libya",
"Kugaaruk, NU",YBB,YBB,"Kugaaruk, NU",
"Kugluktuk/Coppermine, NU",YCO,YCO,"Kugluktuk/Coppermine, NU",
"Kulusuk, Greenland",KUS,KUS,"Kulusuk, Greenland",
"Kumejima, Japan",UEO,UEO,"Kumejima, Japan",
"Kundiawa, Papau New Guinea",CMU,CMU,"Kundiawa, Papau New Guinea",
"Kuopio, Finland",KUO,KUO,"Kuopio, Finland",
"Kuri, Papua New Guinea",KUQ,KUQ,"Kuri, Papua New Guinea",
"Kushiro, Japan",KUH,KUH,"Kushiro, Japan",
"Kutaisi, Georgia",KUT,KUT,"Kutaisi, Georgia",
"Kuujjuaq, QC",YVP,YVP,"Kuujjuaq, QC",
"Kuujjuarapik, QC",YGW,YGW,"Kuujjuarapik, QC",
"Kuusamo, Finland",KAO,KAO,"Kuusamo, Finland",
"Kuwait, Kuwait",KWI,KWI,"Kuwait, Kuwait",
"Kwajalein, Marshall Islands",KWA,KWA,"Kwajalein, Marshall Islands",
"Kwethluk, AK",KWT,KWT,"Kwethluk, AK",
"Kwigillingok, AK",KWK,KWK,"Kwigillingok, AK",
"Kyzyl, Russia",KYZ,KYZ,"Kyzyl, Russia",
"La Ceiba, Honduras",LCE,LCE,"La Ceiba, Honduras",
"La Coruna, Spain",LCG,LCG,"La Coruna, Spain",
"La Crosse, WI",LSE,LSE,"La Crosse, WI",
"La Grande, QC",YGL,YGL,"La Grande, QC",
"La Palma, Panama",PLP,PLP,"La Palma, Panama",
"La Paz, Bolivia",LPB,LPB,"La Paz, Bolivia",
"La Paz, Mexico",LAP,LAP,"La Paz, Mexico",
"La Rioja, Argentina",IRJ,IRJ,"La Rioja, Argentina",
"La Romana, Dominican Republic",LRM,LRM,"La Romana, Dominican Republic",
"La Ronge, SK",YVC,YVC,"La Ronge, SK",
"La Serena, Chile",LSC,LSC,"La Serena, Chile",
"La Tabatiere, QC",ZLT,ZLT,"La Tabatiere, QC",
"La Tuque, QC",YLQ,YLQ,"La Tuque, QC",
"Laayoune, Morocco",EUN,EUN,"Laayoune, Morocco",
"Labasa, Fiji",LBS,LBS,"Labasa, Fiji",
"Lablab, Papua New Guinea",LAB,LAB,"Lablab, Papua New Guinea",
"Labuan Bajo, Indonesia",LBJ,LBJ,"Labuan Bajo, Indonesia",
"Labuan, Malaysia",LBU,LBU,"Labuan, Malaysia",
"Lac Brochet, MB",XLB,XLB,"Lac Brochet, MB",
"Lac Edouard, QC - Rail service",XEE,XEE,"Lac Edouard, QC - Rail service",
"Ladysmith, BC - Rail service",XEH,XEH,"Ladysmith, BC - Rail service",
"Lae Island, Marshall Islands",LML,LML,"Lae Island, Marshall Islands",
"Lae, Papua New Guinea",LAE,LAE,"Lae, Papua New Guinea",
"Lafayette, IN",LAF,LAF,"Lafayette, IN",
"Lafayette, LA",LFT,LFT,"Lafayette, LA",
"Lages, SC, Brazil",LAJ,LAJ,"Lages, SC, Brazil",
"Lago Agrio, Ecuador",LGQ,LGQ,"Lago Agrio, Ecuador",
"Lago Argentina, Argentina",ING,ING,"Lago Argentina, Argentina",
"Lagos, Nigeria",LOS,LOS,"Lagos, Nigeria",
"Lahadbatu, Malaysia",LDU,LDU,"Lahadbatu, Malaysia",
"Lahore, Pakistan",LHE,LHE,"Lahore, Pakistan",
"Lake Charles, LA",LCH,LCH,"Lake Charles, LA",
"Lake Havasu City, AZ",HII,HII,"Lake Havasu City, AZ",
"Lake Minchumina, AK",LMA,LMA,"Lake Minchumina, AK",
"Lakeba, Fiji",LKB,LKB,"Lakeba, Fiji",
"Lakselv, Norway",LKL,LKL,"Lakselv, Norway",
"Lalibela, Ethiopia",LLI,LLI,"Lalibela, Ethiopia",
"Lamap, Vanuatu",LPM,LPM,"Lamap, Vanuatu",
"Lamen Bay, Vanuatu",LNB,LNB,"Lamen Bay, Vanuatu",
"Lamezia-Terme, Italy",SUF,SUF,"Lamezia-Terme, Italy",
"Lampang, Thailand",LPI,LPI,"Lampang, Thailand",
"Lampedusa, Italy",LMP,LMP,"Lampedusa, Italy",
"Lamu, Kenya",LAU,LAU,"Lamu, Kenya",
"Lanai City, HI - Island of Lanai",LNY,LNY,"Lanai City, HI - Island of Lanai",
"Lancaster, PA",LNS,LNS,"Lancaster, PA",
"Lands End, United Kingdom",LEQ,LEQ,"Lands End, United Kingdom",
"Langford, BC - Rail service",XEJ,XEJ,"Langford, BC - Rail service",
"Langguri, Indonesia",LUV,LUV,"Langguri, Indonesia",
"Langkawi, Malaysia",LGK,LGK,"Langkawi, Malaysia",
"Lannion, France",LAI,LAI,"Lannion, France",
"Lansdowne House, ON",YLH,YLH,"Lansdowne House, ON",
"Lansing, MI",LAN,LAN,"Lansing, MI",
"Lanzarote, Spain",ACE,ACE,"Lanzarote, Spain",
"Lanzhau, Guinea",LHW,LHW,"Lanzhau, Guinea",
"Lanzhou, China",ZGC,ZGC,"Lanzhou, China",
"Laoag, Philippines",LAO,LAO,"Laoag, Philippines",
"Lappeenranta, Finland",LPP,LPP,"Lappeenranta, Finland",
"Laramie, WY",LAR,LAR,"Laramie, WY",
"Larantuka, Indonesia",LKA,LKA,"Larantuka, Indonesia",
"Laredo, TX",LRD,LRD,"Laredo, TX",
"Larnaca, Cyprus",LCA,LCA,"Larnaca, Cyprus",
"Larochelle, France",LRH,LRH,"Larochelle, France",
"Las Palmas, Spain",LPA,LPA,"Las Palmas, Spain",
"Las Piedras, Venezuela",LSP,LSP,"Las Piedras, Venezuela",
"Las Vegas, NV",LAS,LAS,"Las Vegas, NV",
"Latakia, Syria",LTK,LTK,"Latakia, Syria",
"Latrobe, PA",LBE,LBE,"Latrobe, PA",
"Laucala Island, Fiji",LUC,LUC,"Laucala Island, Fiji",
"Launceston, TS, Australia",LST,LST,"Launceston, TS, Australia",
"Laurel, MS",PIB,PIB,"Laurel, MS",
"Laverton, WA, Australia",LVO,LVO,"Laverton, WA, Australia",
"Lawas, Malaysia",LWY,LWY,"Lawas, Malaysia",
"Lawton, OK",LAW,LAW,"Lawton, OK",
"Le Havre, France",LEH,LEH,"Le Havre, France",
"Le Mans, France",ZLN,ZLN,"Le Mans, France",
"Le Puy, France",LPY,LPY,"Le Puy, France",
"Le Touquet, France",LTQ,LTQ,"Le Touquet, France",
"Leaf Rapids, MB",YLR,YLR,"Leaf Rapids, MB",
"Learmonth, WA, Australia",LEA,LEA,"Learmonth, WA, Australia",
"Lebanon, NH",LEB,LEB,"Lebanon, NH",
"Leeds, United Kingdom",LBA,LBA,"Leeds, United Kingdom",
"Legaspi, Philippines",LGP,LGP,"Legaspi, Philippines",
"Leh, India",IXL,IXL,"Leh, India",
"Leinster, WA, Australia",LER,LER,"Leinster, WA, Australia",
"Leipzig, Germany",LEJ,LEJ,"Leipzig, Germany",
"Leknes, Norway",LKN,LKN,"Leknes, Norway",
"Lemnos, Greece",LXS,LXS,"Lemnos, Greece",
"Leon, Mexico",BJX,BJX,"Leon, Mexico",
"Leonora, WA, Australia",LNO,LNO,"Leonora, WA, Australia",
"Lethbridge, AB",YQL,YQL,"Lethbridge, AB",
"Leticia, Colombia",LET,LET,"Leticia, Colombia",
"Levelock, AK",KLL,KLL,"Levelock, AK",
"Lewisburg, WV",LWB,LWB,"Lewisburg, WV",
"Lewiston, ID",LWS,LWS,"Lewiston, ID",
"Lewistown, MT",LWT,LWT,"Lewistown, MT",
"Lexington, KY",LEX,LEX,"Lexington, KY",
"Lhasa, China",LXA,LXA,"Lhasa, China",
"Lianyungang, China",LYG,LYG,"Lianyungang, China",
"Liberal, KS",LBL,LBL,"Liberal, KS",
"Liberia, Costa Rica",LIR,LIR,"Liberia, Costa Rica",
"Libreville, Gabon",LBV,LBV,"Libreville, Gabon",
"Lichinga, Mozambique",VXC,VXC,"Lichinga, Mozambique",
"Liege, Belgium",LGG,LGG,"Liege, Belgium",
"Lifa, New Caledonia",LIF,LIF,"Lifa, New Caledonia",
"Lightning Ridge, NS, Australia",LHG,LHG,"Lightning Ridge, NS, Australia",
"Lihir Island, Papua New Guinea",LNV,LNV,"Lihir Island, Papua New Guinea",
